time,open,high,low,close,vwap,volume,count
1702394940,41161.0,41252.3,41161.0,41242.6,41229.1,3.09875767,37
1702395000,41235.4,41301.2,41235.3,41299.6,41267.3,0.12774624,28
1702395060,41299.1,41308.6,41281.3,41308.5,41292.6,0.59286047,17
1702395120,41319.6,41341.2,41315.6,41341.2,41327.4,1.01403540,22
1702395180,41340.3,41342.0,41310.8,41310.8,41315.2,0.58979692,20
1702395240,41310.9,41327.1,41297.1,41327.1,41311.7,6.88666609,38
1702395300,41334.5,41335.5,41306.9,41306.9,41312.1,0.16944714,8
1702395360,41286.7,41322.0,41261.1,41273.5,41279.9,0.66601081,39
1702395420,41261.2,41295.9,41260.8,41277.9,41283.7,0.30861209,15
1702395480,41267.9,41301.3,41267.9,41299.1,41296.3,0.41858837,15
1702395540,41296.1,41330.9,41283.1,41330.9,41327.7,0.51816654,13
1702395600,41314.7,41363.9,41314.7,41363.9,41331.6,2.60314420,25
1702395660,41363.9,41399.9,41363.9,41399.9,41392.6,0.88719794,27
1702395720,41400.1,41411.4,41400.0,41411.3,41410.9,0.05635025,14
1702395780,41411.4,41411.4,41369.9,41369.9,41409.2,2.04069461,12
1702395840,41369.9,41369.9,41335.1,41355.9,41357.3,0.87629712,22
1702395900,41355.9,41363.3,41355.9,41361.9,41361.8,2.28838844,20
1702395960,41410.2,41411.6,41410.2,41411.6,41411.5,0.01105460,10
1702396020,41411.5,41411.6,41361.9,41368.6,41407.8,0.16539302,14
1702396080,41369.9,41371.3,41361.9,41362.1,41363.4,0.09711499,12
1702396140,41362.1,41382.3,41362.0,41382.1,41376.5,9.14617152,31
1702396200,41383.0,41383.0,41355.9,41355.9,41368.0,0.09604119,16
1702396260,41355.9,41356.0,41316.7,41323.5,41350.5,2.58126893,31
1702396320,41327.8,41332.4,41291.8,41299.7,41305.9,0.36730304,20
1702396380,41301.7,41309.6,41283.3,41289.2,41302.5,2.57179880,36
1702396440,41289.2,41303.1,41283.1,41283.1,41285.6,0.46085271,14
1702396500,41283.0,41295.3,41260.8,41295.2,41269.7,0.87978438,20
1702396560,41295.4,41330.1,41295.4,41329.8,41329.3,1.05322225,13
1702396620,41329.8,41348.8,41317.0,41317.0,41333.3,1.92340825,21
1702396680,41313.3,41328.4,41290.0,41328.4,41293.1,3.05234734,19
1702396740,41328.4,41329.0,41328.3,41328.3,41328.3,0.19358091,12
1702396800,41328.4,41332.7,41328.3,41332.7,41331.6,0.65477572,18
1702396860,41332.7,41334.2,41320.1,41320.2,41323.9,0.70077848,16
1702396920,41310.9,41331.2,41302.4,41331.0,41319.5,2.28124762,12
1702396980,41331.1,41385.6,41331.1,41385.6,41352.1,1.05975370,25
1702397040,41385.6,41413.2,41385.6,41413.2,41412.8,1.79095422,26
1702397100,41413.1,41413.2,41324.0,41324.0,41372.6,3.76115593,28
1702397160,41324.0,41324.0,41294.1,41294.2,41295.1,0.00379774,5
1702397220,41294.1,41294.1,41260.9,41260.9,41275.4,2.35122229,29
1702397280,41260.8,41260.9,41220.4,41220.5,41258.4,1.71530985,22
1702397340,41219.9,41240.9,41164.0,41166.0,41193.4,3.45748088,44
1702397400,41171.3,41171.3,41153.4,41153.4,41159.7,8.25866753,30
1702397460,41153.3,41161.0,41145.7,41161.0,41154.0,7.56992696,122
1702397520,41165.6,41165.6,41097.4,41110.4,41127.1,39.04402626,104
1702397580,41113.8,41122.2,41072.2,41114.6,41101.2,23.24859606,78
1702397640,41114.6,41165.6,41111.7,41165.6,41130.6,5.92113287,22
1702397700,41165.6,41165.6,41165.5,41165.5,41165.5,0.60027764,10
1702397760,41165.6,41165.6,41152.0,41165.6,41154.7,8.26257710,22
1702397820,41165.6,41218.9,41165.6,41218.9,41200.2,1.27936350,27
1702397880,41220.2,41226.8,41151.9,41151.9,41190.2,7.41095365,27
1702397940,41152.0,41178.5,41151.8,41156.2,41156.5,9.24036485,21
1702398000,41153.8,41163.0,41138.6,41146.0,41141.4,1.05381547,17
1702398060,41141.5,41234.2,41141.5,41232.7,41150.0,1.16307923,23
1702398120,41232.8,41264.7,41232.8,41261.1,41256.4,2.50954180,17
1702398180,41243.6,41263.9,41243.6,41263.9,41252.7,0.02677538,7
1702398240,41264.0,41270.0,41264.0,41269.9,41269.9,0.51229852,18
1702398300,41270.0,41270.0,41269.9,41270.0,41269.9,0.05547595,8
1702398360,41269.9,41280.5,41269.9,41276.4,41276.4,0.67483516,14
1702398420,41276.4,41276.4,41276.3,41276.3,41276.3,1.13041040,12
1702398480,41276.4,41284.9,41276.4,41284.9,41284.8,3.95573890,14
1702398540,41284.8,41284.9,41270.0,41270.0,41284.5,0.29594195,12
1702398600,41269.9,41269.9,41251.5,41251.6,41251.8,0.56264641,23
1702398660,41251.6,41300.0,41251.6,41280.7,41286.6,9.66525956,28
1702398720,41281.1,41296.5,41281.1,41296.4,41295.7,0.07709317,6
1702398780,41296.5,41296.5,41296.4,41296.5,41296.4,1.70531856,10
1702398840,41296.4,41296.5,41296.4,41296.4,41296.4,0.02831232,5
1702398900,41296.5,41296.5,41296.4,41296.5,41296.4,1.42511015,13
1702398960,41296.5,41296.5,41284.0,41284.0,41289.0,0.80482988,10
1702399020,41284.0,41284.0,41222.8,41222.8,41242.6,0.37598351,26
1702399080,41223.9,41224.0,41200.1,41200.1,41220.9,8.42047628,23
1702399140,41200.0,41200.1,41162.1,41162.1,41181.3,2.47131040,19
1702399200,41162.1,41176.2,41155.6,41155.6,41162.0,4.12953681,18
1702399260,41155.5,41162.0,41155.5,41155.5,41156.0,4.23989034,22
1702399320,41155.5,41224.0,41155.5,41224.0,41198.0,0.15230330,23
1702399380,41223.9,41224.0,41209.1,41218.3,41223.8,4.92807673,22
1702399440,41218.3,41282.8,41218.3,41282.8,41245.6,1.11673849,27
1702399500,41284.0,41284.0,41279.0,41283.9,41283.9,0.35873437,15
1702399560,41284.0,41284.0,41255.6,41255.6,41283.3,0.82560934,14
1702399620,41274.2,41295.5,41257.5,41257.5,41281.1,3.61515437,29
1702399680,41257.5,41257.5,41249.3,41249.4,41257.2,0.06817946,8
1702399740,41249.3,41261.7,41237.3,41237.3,41248.4,0.02406616,14
1702399800,41237.3,41273.4,41237.3,41270.6,41261.2,1.11237859,23
1702399860,41254.8,41297.3,41246.7,41297.3,41290.7,2.78767297,22
1702399920,41290.5,41298.9,41289.8,41290.5,41291.2,1.58042477,18
1702399980,41290.5,41300.0,41290.4,41299.9,41299.3,0.15892829,18
1702400040,41299.7,41299.7,41297.4,41297.4,41298.7,0.01015764,4
1702400100,41297.4,41297.5,41297.4,41297.5,41297.4,0.02762305,5
1702400160,41297.4,41297.4,41269.7,41296.6,41279.7,2.52616225,22
1702400220,41298.0,41300.0,41275.0,41283.4,41290.1,7.38414316,31
1702400280,41284.2,41315.1,41284.2,41301.1,41307.9,26.04395896,49
1702400340,41299.6,41317.8,41299.6,41317.8,41315.6,3.09461032,27
1702400400,41304.5,41304.5,41275.0,41275.1,41284.7,0.20747329,20
1702400460,41275.0,41301.7,41275.0,41275.0,41275.4,0.73808209,15
1702400520,41275.1,41275.1,41275.0,41275.0,41275.0,0.27135432,18
1702400580,41275.0,41275.1,41233.2,41237.2,41262.2,2.09082425,31
1702400640,41229.5,41248.1,41227.4,41238.4,41236.7,0.38269397,16
1702400700,41236.7,41236.8,41235.6,41236.8,41236.6,0.01046981,7
1702400760,41236.8,41236.8,41224.7,41224.7,41233.4,0.57416344,8
1702400820,41224.7,41228.6,41209.2,41209.2,41216.4,3.57872014,24
1702400880,41209.1,41221.9,41209.1,41221.9,41209.2,3.07789987,21
1702400940,41221.9,41233.3,41206.5,41206.5,41207.9,3.68738980,27
1702401000,41206.5,41206.5,41206.4,41206.5,41206.4,0.29357782,12
1702401060,41206.5,41206.5,41173.2,41175.5,41184.2,3.72947991,33
1702401120,41177.0,41188.2,41166.0,41177.0,41176.8,0.45599206,17
1702401180,41177.0,41228.3,41177.0,41221.8,41202.5,1.40693012,21
1702401240,41213.0,41213.0,41166.0,41166.1,41180.5,0.89334475,12
1702401300,41166.1,41166.1,41147.8,41164.4,41153.3,2.94439789,29
1702401360,41161.2,41178.0,41155.3,41178.0,41160.7,0.45708512,24
1702401420,41168.3,41198.8,41168.3,41197.9,41191.8,0.41684825,17
1702401480,41197.9,41210.0,41197.9,41204.3,41204.9,1.08475965,21
1702401540,41210.4,41219.0,41210.4,41219.0,41218.0,0.70904646,16
1702401600,41220.5,41220.5,41210.4,41210.4,41218.1,0.21754787,15
1702401660,41206.5,41217.3,41191.3,41191.3,41203.3,3.44526445,33
1702401720,41191.3,41191.4,41088.0,41088.0,41107.3,6.09074693,70
1702401780,41088.1,41096.3,41022.6,41027.4,41050.8,38.50248654,140
1702401840,41027.5,41049.6,41013.4,41013.4,41019.3,0.82673476,34
1702401900,41013.1,41013.1,40953.6,40953.7,40984.0,9.71616772,129
1702401960,40953.6,40960.3,40830.1,40871.3,40912.7,10.19854100,190
1702402020,40911.5,40918.1,40852.8,40903.6,40904.7,17.24427733,49
1702402080,40888.9,40903.6,40882.6,40888.8,40890.0,2.50009129,25
1702402140,40888.9,40910.0,40824.9,40824.9,40876.0,33.73581663,72
1702402200,40855.1,40910.0,40841.3,40910.0,40902.0,13.42800565,41
1702402260,40937.6,40965.7,40907.5,40907.5,40948.9,1.00142551,27
1702402320,40899.1,40930.4,40889.6,40889.6,40921.5,13.66266730,20
1702402380,40888.8,40888.9,40834.4,40834.4,40859.2,0.52403784,19
1702402440,40834.5,40834.5,40805.0,40805.0,40822.1,1.11015682,49
1702402500,40803.3,40823.0,40796.7,40810.6,40803.1,7.27125089,42
1702402560,40821.8,40876.1,40821.2,40876.1,40834.7,1.14927114,16
1702402620,40850.2,40876.9,40815.0,40876.9,40833.6,0.98050696,16
1702402680,40851.3,40900.3,40851.3,40900.3,40877.5,5.43250299,33
1702402740,40907.2,40919.5,40898.3,40898.3,40899.7,3.14442888,19
1702402800,40889.9,40897.6,40862.0,40897.2,40889.4,0.36950220,17
1702402860,40900.0,40900.0,40891.5,40891.5,40897.1,0.19695489,18
1702402920,40891.6,40897.0,40891.6,40897.0,40896.9,0.20964008,16
1702402980,40896.9,40921.1,40896.9,40921.0,40918.1,1.29077464,16
1702403040,40915.6,40915.7,40891.6,40891.6,40911.8,3.10776480,22
1702403100,40891.5,40891.5,40868.1,40884.6,40884.5,3.10070388,36
1702403160,40884.5,40884.6,40815.1,40815.1,40875.8,2.73541397,39
1702403220,40815.1,40822.1,40804.2,40820.6,40818.2,0.68369935,18
1702403280,40819.5,40859.4,40790.5,40811.8,40802.9,14.06985631,74
1702403340,40809.0,40822.1,40762.5,40815.1,40794.3,63.87458311,115
1702403400,40825.8,40846.0,40789.2,40789.2,40827.5,1.30295309,19
1702403460,40791.5,40803.4,40762.4,40762.4,40802.3,2.23541693,16
1702403520,40792.8,40830.4,40791.8,40830.4,40795.7,0.49379065,15
1702403580,40825.9,40835.2,40825.9,40835.2,40833.6,0.02676643,10
1702403640,40835.2,40835.2,40750.1,40753.8,40761.7,1.80632349,35
1702403700,40753.7,40778.6,40713.5,40735.4,40748.8,2.28859402,71
1702403760,40750.2,40793.8,40750.2,40782.7,40785.2,4.31711641,34
1702403820,40767.2,40774.1,40718.9,40718.9,40767.0,6.93668190,28
1702403880,40713.3,40738.9,40700.0,40700.0,40706.3,1.72546684,40
1702403940,40699.3,40699.3,40662.4,40662.4,40669.9,11.90452407,71
1702404000,40662.8,40728.2,40662.4,40712.1,40670.4,5.26553625,45
1702404060,40710.0,40745.5,40683.3,40745.5,40698.9,1.36243938,28
1702404120,40745.5,40763.2,40745.5,40750.6,40746.5,1.27624728,13
1702404180,40780.7,40800.0,40780.7,40800.0,40796.6,0.08978842,13
1702404240,40800.0,40835.2,40800.0,40813.4,40831.2,1.00743875,27
1702404300,40825.7,40835.2,40800.6,40835.2,40824.1,4.08975591,11
1702404360,40835.1,40882.9,40835.1,40882.9,40837.4,5.87844485,26
1702404420,40882.0,40909.4,40875.6,40909.4,40904.9,0.26560962,20
1702404480,40909.4,40999.9,40909.4,40999.9,40965.8,7.22826783,66
1702404540,40996.0,40999.9,40987.9,40999.9,40993.8,0.52374116,16
1702404600,40988.0,41000.0,40985.0,40999.7,40992.4,9.34741768,68
1702404660,40999.8,41017.7,40988.1,41017.7,41010.2,0.70808559,27
1702404720,41017.7,41023.7,41009.6,41015.4,41013.9,10.02977390,25
1702404780,41015.2,41015.6,41015.2,41015.6,41015.4,0.20548535,12
1702404840,41027.9,41099.9,41027.9,41099.8,41066.5,5.06958875,82
1702404900,41099.9,41178.0,41099.9,41178.0,41143.9,2.09940695,108
1702404960,41174.0,41252.0,41158.7,41245.8,41221.4,3.81858669,53
1702405020,41240.4,41279.1,41240.4,41260.1,41259.4,1.53023124,39
1702405080,41260.0,41260.1,41178.5,41187.0,41211.0,0.68332494,23
1702405140,41205.2,41237.0,41193.5,41219.0,41195.9,0.99042248,20
1702405200,41219.0,41296.3,41219.0,41276.2,41286.5,30.51012525,180
1702405260,41280.6,41327.4,41259.9,41259.9,41313.6,32.79951283,68
1702405320,41259.9,41259.9,41239.2,41240.5,41244.5,1.42231479,29
1702405380,41229.6,41261.4,41229.6,41255.7,41255.0,1.45031667,19
1702405440,41248.9,41268.1,41240.5,41243.1,41244.6,0.74137315,32
1702405500,41240.6,41240.6,41234.1,41234.1,41239.7,1.50273955,17
1702405560,41236.6,41261.3,41233.1,41261.0,41252.3,0.22634604,12
1702405620,41255.8,41305.5,41252.2,41305.5,41293.9,2.22667105,23
1702405680,41302.6,41368.5,41300.9,41363.1,41343.8,1.15865562,51
1702405740,41355.2,41367.9,41332.5,41367.8,41359.5,5.49420128,25
1702405800,41363.5,41373.1,41347.4,41364.0,41356.9,0.76673506,36
1702405860,41364.1,41364.1,41302.5,41302.6,41325.6,0.53720399,16
1702405920,41302.5,41302.6,41264.8,41264.8,41270.6,2.92624785,23
1702405980,41253.6,41271.1,41253.2,41253.7,41266.5,0.69134461,13
1702406040,41253.7,41254.0,41237.2,41237.3,41250.6,26.49273069,59
1702406100,41238.6,41241.2,41214.0,41214.0,41223.9,13.87175042,34
1702406160,41215.1,41220.0,41200.0,41200.0,41203.8,5.84423477,20
1702406220,41199.9,41254.0,41193.5,41254.0,41200.3,8.81342085,28
1702406280,41238.4,41254.0,41238.4,41254.0,41251.3,0.16167841,10
1702406340,41254.0,41286.3,41253.9,41286.3,41264.4,0.51224886,23
1702406400,41278.1,41278.1,41252.8,41252.8,41270.8,0.16935406,11
1702406460,41252.8,41252.8,41252.8,41252.8,41252.8,1.13335799,12
1702406520,41252.7,41252.8,41252.7,41252.8,41252.7,0.04144977,8
1702406580,41252.7,41252.8,41240.1,41240.1,41249.6,0.31828939,13
1702406640,41240.1,41240.1,41238.1,41238.1,41239.9,10.15358508,6
1702406700,41238.1,41238.1,41238.0,41238.1,41238.0,0.50858030,14
1702406760,41229.4,41230.5,41202.5,41202.5,41210.8,1.82370042,19
1702406820,41202.5,41224.2,41202.5,41224.2,41208.3,0.01625637,6
1702406880,41224.2,41291.0,41224.2,41290.9,41273.7,0.09656389,24
1702406940,41290.9,41308.9,41290.9,41308.9,41291.9,2.44199959,10
1702407000,41309.0,41309.0,41263.0,41265.7,41290.3,0.59979434,28
1702407060,41265.7,41269.0,41261.5,41265.9,41261.8,1.19258188,18
1702407120,41265.9,41265.9,41265.9,41265.9,41265.9,0.03383411,5
1702407180,41265.9,41265.9,41265.8,41265.8,41265.8,0.03178217,4
1702407240,41265.9,41265.9,41265.8,41265.9,41265.8,1.48508530,11
1702407300,41265.8,41265.8,41249.2,41249.2,41254.5,10.07766105,32
1702407360,41246.1,41256.6,41243.0,41248.6,41249.4,0.63744474,26
1702407420,41248.5,41294.7,41246.9,41293.1,41281.3,1.49387885,21
1702407480,41276.0,41284.1,41253.1,41253.1,41280.9,0.35658880,7
1702407540,41254.3,41254.3,41248.0,41254.3,41253.3,0.16002136,4
1702407600,41254.3,41292.7,41254.2,41272.0,41269.3,1.83083169,15
1702407660,41262.0,41262.0,41243.8,41243.9,41245.8,1.42983914,13
1702407720,41242.4,41250.0,41242.4,41250.0,41243.2,0.06122818,7
1702407780,41250.0,41298.3,41250.0,41274.4,41266.2,1.24619878,18
1702407840,41274.5,41274.5,41274.4,41274.4,41274.4,0.06101350,9
1702407900,41274.4,41274.4,41224.1,41225.0,41236.4,0.04127863,9
1702407960,41224.9,41242.2,41219.2,41219.3,41240.3,0.30131483,10
1702408020,41224.0,41224.0,41223.9,41223.9,41223.9,0.93485229,10
1702408080,41224.0,41224.0,41216.9,41218.1,41223.8,0.61584330,9
1702408140,41218.0,41250.0,41218.0,41250.0,41227.6,0.05386530,14
1702408200,41250.0,41254.9,41250.0,41250.1,41250.0,0.55694271,13
1702408260,41250.0,41253.4,41232.4,41253.4,41235.7,0.30080631,16
1702408320,41249.8,41256.1,41249.3,41249.7,41249.8,0.25844740,19
1702408380,41251.2,41253.8,41251.2,41253.7,41253.7,0.06211247,11
1702408440,41253.7,41256.1,41238.8,41242.4,41244.9,0.57599321,24
1702408500,41242.3,41242.3,41203.1,41203.2,41232.3,0.10004663,17
1702408560,41203.2,41218.6,41203.2,41214.8,41214.9,0.21315819,11
1702408620,41214.8,41228.0,41211.6,41228.0,41214.1,0.71334506,20
1702408680,41203.2,41203.2,41203.1,41203.1,41203.1,0.06322598,7
1702408740,41203.2,41203.2,41159.4,41159.4,41171.6,1.55286609,16
1702408800,41159.4,41174.8,41159.3,41165.9,41163.1,0.29220649,13
1702408860,41167.9,41172.0,41158.0,41158.1,41161.5,0.30109941,19
1702408920,41158.0,41158.0,41076.7,41076.7,41116.1,2.18353621,38
1702408980,41076.7,41076.8,41076.7,41076.8,41076.7,0.04784156,13
1702409040,41076.8,41076.8,41076.7,41076.8,41076.7,1.72127463,12
1702409100,41076.8,41076.8,41050.1,41050.1,41062.3,0.56683446,30
1702409160,41056.5,41059.6,41042.2,41042.2,41049.6,0.82179990,19
